metric,value,unit,source,definition,interpretation
product_units,100,제품,analysis/out/01_product_log.csv,제품 로그 행 수,ROI 행의 상위 독립 단위 후보
roi_rows,7800,ROI 행,analysis/out/02_roi_records.csv,ROI 판정 레코드 수,독립 사건 수와 구분해야 함
image_count,364,이미지,analysis/out/04_image_index.csv,이미지 인덱스 행 수,결과 화면이며 원본 여부를 별도 기록해야 함
machine_rule_recovery,1.0,비율,analysis/out/02_roi_records.csv,"max(OPoint, RPoint) >= MatchCutline 과 PassYN의 일치율",독립 정답이 아니라 설비 출력과 결정적으로 연결된 라벨인지 점검
date_resub_accuracy,0.961538,비율,analysis/out/04_image_index.csv,날짜별 최빈 라벨을 같은 데이터에 재대입,외삽 성능이 아니라 수집 지원 편향
image_majority_accuracy,0.81044,비율,analysis/out/04_image_index.csv,전체 이미지 다수 라벨 정확도,날짜 재대입 lift의 기준선
mixed_label_days,5,일,analysis/out/04_image_index.csv,정상과 불합격 이미지가 모두 존재하는 날짜 수,날짜 교락의 데이터 지원 범위
total_image_days,23,일,analysis/out/04_image_index.csv,이미지가 존재하는 고유 날짜 수,날짜 단위 평가의 분모
date_random_auroc,0.9181,AUROC,experiments/results/results.csv,"protocol=A-무작위, method=date-only, imgset=meta","95% CI [0.863, 0.9627], n_pos=69"
date_lodo_auroc,0.526,AUROC,experiments/results/results.csv,"protocol=B-LODO, method=date-only, imgset=meta","95% CI [0.287, 0.7355], n_pos=5"
border_red_lodo_auroc,1.0,AUROC,experiments/results/results.csv,"protocol=B-LODO, method=border-red, imgset=meta","95% CI [1.0, 1.0], n_pos=5"
patchcore_crop_random_auroc,0.8995,AUROC,experiments/results/results.csv,"protocol=A-무작위, method=PatchCore, imgset=img_crop","95% CI [0.8452, 0.945], n_pos=69"
patchcore_clean_random_auroc,0.7595,AUROC,experiments/results/results.csv,"protocol=A-무작위, method=PatchCore, imgset=img_clean","95% CI [0.6802, 0.833], n_pos=69"
patchcore_crop_lodo_auroc,0.6368,AUROC,experiments/results/results.csv,"protocol=B-LODO, method=PatchCore, imgset=img_crop","95% CI [0.5381, 0.7247], n_pos=5"
patchcore_clean_lodo_auroc,0.5578,AUROC,experiments/results/results.csv,"protocol=B-LODO, method=PatchCore, imgset=img_clean","95% CI [0.252, 0.8404], n_pos=5"
clip_clean_lodo_auroc,0.5058,AUROC,experiments/results/results.csv,"protocol=B-LODO, method=CLIP-zeroshot, imgset=img_clean","95% CI [0.1874, 0.817], n_pos=5"
date_protocol_gap,0.3921,AUROC 차이,experiments/results/results.csv,A-무작위 AUROC - B-LODO AUROC (meta),양수이면 무작위 평가가 날짜 단위 외삽보다 낙관적
patchcore_crop_protocol_gap,0.2627,AUROC 차이,experiments/results/results.csv,A-무작위 AUROC - B-LODO AUROC (img_crop),양수이면 무작위 평가가 날짜 단위 외삽보다 낙관적
patchcore_clean_protocol_gap,0.2017,AUROC 차이,experiments/results/results.csv,A-무작위 AUROC - B-LODO AUROC (img_clean),양수이면 무작위 평가가 날짜 단위 외삽보다 낙관적
warning_rows_total,60,행,analysis/out/10_warnings.csv,저장된 경고 행 전체,통과 이탈과 불합격을 분리해 보고
warning_rows_pass,58,행,analysis/out/10_warnings.csv,verdict=1 경고,라벨 없이 추가로 찾은 통과 이탈
warning_rows_fail,2,행,analysis/out/10_warnings.csv,verdict=0 경고,이미 불합격인 두 사건
human_diff_sensitivity,1.0,비율,roi_perception_labels.csv,차이를 심은 대조군에서 DIFF 응답 비율,21/21
human_same_specificity,0.826087,비율,roi_perception_labels.csv,동일 대조군에서 SAME 응답 비율,19/23
human_repeat_agreement,0.416667,비율,roi_perception_labels.csv,반복 문항과 최초 응답의 단순 일치율,5/12; 전문가 타당도와 별개
lovo_random_q10,0.014102564102564103,잔여 오류율,derive/results/stagen_lovo.csv,"f=major, g=random, q=10%",실데이터 무작위 질문 기준선
lovo_best_q10,0.014102564102564103,잔여 오류율,derive/results/stagen_lovo.csv,"f=major, g=disagree, q=10%",무작위보다 낮지 않으면 기권 방법의 실데이터 근거 없음
lovo_q10_improvement,0.0,오류율 감소,derive/results/stagen_lovo.csv,무작위 q10 - 최고 비무작위 q10,0 이하면 실데이터에서 개선 없음
analyst_log_actual,17,건,cases/STG-2026-01/case.yaml,case.yaml의 error_id 항목 수,최신 사례 기록
analyst_log_summary,6,건,cases/summary.csv,summary.csv 오류기록 값,최신 사례 기록과 다르면 stale artifact
